category,text,category_id,train
Notifications: manage,"I want to turn off transaction alerts, how do I do that?",39,0
Spend Account: transfer funds,How do I move money to another account?,11,0
Card: report stolen or lost,Emergency! Card stolen!,3,0
Card: cancel close,How do I stop my card services?,35,0
User Account: get help contact customer service,Could you help me find the support email?,22,0
Spend Account: transfer funds checks,Help me transfer funds through a check,12,0
User Account: edit profile name,I want to make a correction to my name on my user account,33,0
Card: replace or upgrade,Can I upgrade my card through your mobile app?,42,0
Card: disable,I need to disable my card for security reasons,0,1
Notifications: sign up for,"I need to be signed up for all alerts, can you do that?",40,0
Card: reset PIN,"My card PIN needs to be updated, what's the process?",34,0
User Account: get fee plan info,How do I find out about fees for adding new services?,27,0
Card: reset PIN,What steps do I follow to change my debit card PIN?,34,0
User Account: edit profile name,Where can I find the option to edit my name?,33,0
User Account: connect banks,What’s the easiest way to add another bank account here?,30,0
Global: get routing number direct deposit info,What should I use as my routing number for direct deposit?,5,0
Transaction: history,Provide access to my last 50 transactions for review.,7,0
Rewards: view offers,Are there any cashback offers linked with my card usage?,21,0
User Account: esign,What happens if I forget how to use my e-signature?,19,0
Card: add new,What forms should I fill to add a new card?,16,0
User Account: edit profile name,"My account name is incorrect, how do I fix it?",33,0
Card: disable,Make sure my card is blocked,0,0
Card: report not received,"My credit card never arrived, what should I do?",41,0
User Account: log out,Could you log me out of my account?,23,0
Spending Tracker: get info,How can I set up alerts from the spending tracker?,14,0
Card: temporary limit increase,"Temporarily raise my credit card limit, please.",36,0
Global: get balance,"Hey, what’s my account balance at the moment?",4,1
User Account: connect banks,Explain how to sync another bank account?,30,0
Card: enable,Activate my card for usage.,1,0
User Account: closure request,Please close my account ASAP,38,0
User Account: closure request,How can I submit a closure request for my account?,38,0
User Account: change mailing address,Is it possible to change my address over the phone?,10,0
User Account: log out,"Point me to the logout feature, will you?",23,0
Savings Account: get info view program,Throw some light on the savings program of my account.,24,1
Statement: get,What were my total spends in the recent statement?,6,0
Rewards: opt in,"Sign me up for the reward system, please?",25,0
User Account: change mailing address,"Quick address update needed, where do I start?",10,1
Card: get shipping status where is,Has there been any movement in the shipping of my card?,2,1
User Account: change phone number,"I got a new phone, how do I update the number attached to my account?",32,0
User Account: get secure inbox messages,Is there anything I should read in my secure inbox?,15,0
User Account: closure request,Assist me in closing my bank account permanently,38,0
Spend Account: consent to direct deposit,Is there an online form to consent to direct deposits?,37,0
Card: reset PIN,Can you help change my PIN for safety reasons?,34,0
Card: temporary limit increase,What forms do I fill for a temporary credit limit increase?,36,0
Card: add new,"Need to add a spare card, can you assist?",16,0
User Account: log out,Can I log out using a quick shortcut?,23,0
Document: upload,How do I upload my documents for account verification?,31,0
Card: report not received,"My card should've been here by now, right?",41,0
Card: reset PIN,"Forgot my current PIN and need to change it, what to do?",34,0
Savings Account: get info view program,How is my savings account beneficial to me?,24,0
User Account: connect banks,Can I configure settings to connect a new bank?,30,0
User Account: log out,"I'm finished, how do I log out?",23,0
User Account: get help contact customer service,"I need help with my account, is there a direct line?",22,0
User Account: change phone number,"Need to update my contact number due to a change, whom do I notify?",32,0
Card: enable,I want to unblock my card for use.,1,0
Statement: get,What's on my most recent card statement?,6,0
User Account: edit profile name,Guide on how to legally change my name in the banking records?,33,0
User Account: change password post login,"I think my password is weak, how to change it?",43,0
Notifications: manage,How do I change my notification preferences?,39,0
Rewards: opt out,I’d prefer not to be included in the rewards system anymore.,26,1
Card: enable,"Need my card active again, how to do that?",1,0
Spend Account: find ATMs,Where can I withdraw cash nearby?,17,0
Card: reset PIN,Need assistance resetting my card's PIN.,34,0
Card: disable,I want to block my card due to theft,0,0
Spend Account: transfer funds external bank,What's the maximum amount I can transfer to another bank today?,13,0
Card: add new,Can you provide details on how to add another bank card?,16,0
Card: get shipping status where is,Can you provide the dispatch details of my card?,2,0
Card: enable,"Enable my card, I need to make a purchase.",1,0
User Account: esign,How do I set up an electronic signature on my account?,19,0
Spend Account: get cash withdrawal and reload locations,Are there any dedicated cash reload spots in this area?,18,0
Card: report not received,My card status is pending delivery for too long,41,0
Overdraft: opt out,"I need to opt out of overdraft, what’s the process?",29,0
Card: disable,I need my card frozen as I can't locate it,0,0
Overdraft: opt out,"I'd like to remove overdraft coverage, please assist.",29,0
