intent,query
Card: disable,Can you block my card please?
Card: disable,Please disable my card immediately
Card: disable,"I need to stop using my card, can you disable it?"
Card: disable,Lock my card now
Card: disable,Freeze my card right away
Card: disable,"I think I lost my card, can you block it?"
Card: disable,Please deactivate my card ASAP
Card: disable,Turn off my card to prevent misuse
Card: disable,"I need to block my card, what should I do?"
Card: disable,"My card needs to be disabled, can you help?"
Card: disable,Going to need my card put on hold
Card: disable,Can you put a stop on my card?
Card: disable,I need my card deactivated until further notice
Card: disable,How do I go about disabling my card?
Card: disable,"I want no more transactions, please block my card"
Card: disable,Please pause my card usage
Card: disable,Deactivate my card please
Card: disable,Can you freeze all transactions on my card?
Card: disable,Make sure my card is blocked
Card: disable,Can you put a block on my card right now?
Card: disable,I need to disable my card for security reasons
Card: disable,"There's been a theft, block my card!"
Card: disable,Disable my card to stop all transactions
Card: disable,Help me disable my card
Card: disable,I want to block my card due to theft
Card: disable,How fast can you disable a card?
Card: disable,Freeze transaction on my card permanently
Card: disable,Could you help me block my card temporarily?
Card: disable,I'd like to deactivate my card now
Card: disable,Is there a way to immediately stop my card?
Card: disable,Please put a hold on my card activities
Card: disable,Can I get my card deactivated over the phone?
Card: disable,I am calling to block my card
Card: disable,I want a card stop placed immediately
Card: disable,"Ensure no one can use my card, disable it"
Card: disable,I need my card frozen as I can't locate it
Card: disable,Stop all access to my card please
Card: disable,"My card needs to be deactivated, it's urgent"
Card: disable,Please suspend my card
Card: disable,Can you halt all operations on my card?
Card: disable,I am requesting a card freeze.
Card: disable,"My card is compromised, disable it please"
Card: disable,Shut down my card to prevent fraud
Card: disable,"Can you disable my card, I suspect fraud?"
Card: disable,Disable my card as I might have lost it
Card: disable,Block my card usage immediately
Card: disable,Stop my card to avoid unauthorized uses
Card: disable,"I need to block my card, can you assist?"
Card: disable,"Prevent any further transactions on my card, disable it"
Card: disable,"No more transactions allowed, block my card now"
Card: enable,Can you activate my card?
Card: enable,"I'd like to use my card again, can you enable it?"
Card: enable,How can I reactivate my card?
Card: enable,Please turn on my card.
Card: enable,Can you unblock my card so I can use it?
Card: enable,Help me get my card working again.
Card: enable,What do I need to do to reactivate my card?
Card: enable,Can I have my card re-enabled?
Card: enable,Need to enable my card please.
Card: enable,"Unpause my card, please."
Card: enable,Activate my card for usage.
Card: enable,How do I enable my currently blocked card?
Card: enable,"I want to start using my card again, can you enable it?"
Card: enable,Unlock my card for transactions.
Card: enable,"Reactivate my card, please."
Card: enable,Could you help me turn my card back on?
Card: enable,Enable my card for purchases.
Card: enable,I need my card unblocked asap.
Card: enable,Is it possible to reactivate my card now?
Card: enable,Switch my card from blocked to active.
Card: enable,"I want my card enabled again, how can I do that?"
Card: enable,"Please enable my card, I need to use it."
Card: enable,Can my card be reactivated?
Card: enable,Please help me enable my card.
Card: enable,Can my card be unpaused now?
Card: enable,What steps do I follow to enable my card?
Card: enable,Can you help reactivate my card?
Card: enable,Need assistance to enable my card.
Card: enable,"Turn my card back on, please."
Card: enable,How can I get my card enabled again?
Card: enable,Can you reactivate my card for me?
Card: enable,How to get my card unblocked?
Card: enable,Reactivate my credit card please.
Card: enable,Can you enable my paused card?
Card: enable,"I need to enable my card, can you assist?"
Card: enable,Help enabling my card.
Card: enable,"Could you enable my card, I need to use it again?"
Card: enable,I'd like to reactivate my blocked card.
Card: enable,"Please enable my card, it's currently inactive."
Card: enable,How do I switch my card from paused to active?
Card: enable,I'd like to start using my blocked card again.
Card: enable,Reactivate my card so I can start shopping again.
Card: enable,"Let's reactivate my card, please."
Card: enable,"Need my card active again, how to do that?"
Card: enable,"Please, can you enable my currently blocked card?"
Card: enable,I want to unblock my card for use.
Card: enable,"Enable my card, I need to make a purchase."
Card: enable,Can you activate my paused card?
